key,present,missing,null,number,array,object,coverage_pct_successes
absolute_loudness,88,0,0,88,0,0,100
arousal,88,0,0,88,0,0,100
articulation,88,0,0,88,0,0,100
binary,88,0,0,88,0,0,100
bpm,88,0,0,88,0,0,100
brightness,88,0,0,88,0,0,100
centroid,88,0,0,88,0,0,100
chroma01,88,0,0,88,0,0,100
chroma02,88,0,0,88,0,0,100
chroma03,88,0,0,88,0,0,100
chroma04,88,0,0,88,0,0,100
chroma05,88,0,0,88,0,0,100
chroma06,88,0,0,88,0,0,100
chroma08,88,0,0,88,0,0,100
chroma09,88,0,0,88,0,0,100
chroma10,88,0,0,88,0,0,100
chroma11,88,0,0,88,0,0,100
chroma12,88,0,0,88,0,0,100
complexity,88,0,0,88,0,0,100
complexity_chroma,88,0,0,88,0,0,100
danceability,88,0,0,88,0,0,100
dissonance,88,0,0,88,0,0,100
electric_acoustic,88,0,0,88,0,0,100
event_density,88,0,0,88,0,0,100
flatness,88,0,0,88,0,0,100
intensity,88,0,0,88,0,0,100
loudness,88,0,0,88,0,0,100
loudness_range,88,0,0,88,0,0,100
melodicity,88,0,0,88,0,0,100
mfcc01,88,0,0,88,0,0,100
mfcc02,88,0,0,88,0,0,100
mfcc03,88,0,0,88,0,0,100
mfcc04,88,0,0,88,0,0,100
mfcc05,88,0,0,88,0,0,100
mfcc06,88,0,0,88,0,0,100
mfcc07,88,0,0,88,0,0,100
mfcc08,88,0,0,88,0,0,100
mfcc09,88,0,0,88,0,0,100
mfcc10,88,0,0,88,0,0,100
mfcc11,88,0,0,88,0,0,100
mfcc12,88,0,0,88,0,0,100
mfcc13,88,0,0,88,0,0,100
moods,88,0,0,0,88,0,100
music_speech,88,0,0,88,0,0,100
pulse_clarity,88,0,0,88,0,0,100
rhythmic_stability,88,0,0,88,0,0,100
roll_off,88,0,0,88,0,0,100
spread,88,0,0,88,0,0,100
studio_live,88,0,0,88,0,0,100
themes,88,0,24,0,64,0,100
timbres,88,0,0,0,88,0,100
valence,88,0,0,88,0,0,100
vocal_instrumental,88,0,0,88,0,0,100
zero_cross_rate,88,0,0,88,0,0,100
