key,category,v1Relevant,count,present,missing,null,nonNumeric,coveragePctAmongSuccesses,min,max,mean,median,std,p05,p25,p50,p75,p95,uniqueValues,possibleCollapse,possibleOutliers
chroma01,chroma_numeric,false,88,88,0,0,0,100,4502,17021,9642.590909,9347,2465.401166,6515.35,7909.25,9347,11248.75,14121.05,87,false,true
chroma02,chroma_numeric,false,88,88,0,0,0,100,950,13234,4272.909091,3559.5,2318.708948,2023.1,2554.5,3559.5,5252.25,8737.8,88,false,true
chroma03,chroma_numeric,false,88,88,0,0,0,100,3222,14994,8746.784091,8291.5,2412.437468,5203.6,7214.75,8291.5,10176.5,13031.75,88,false,true
chroma04,chroma_numeric,false,88,88,0,0,0,100,250,6381,2167.806818,1821,1291.043941,814.2,1155,1821,2953,4632.55,88,false,true
chroma05,chroma_numeric,false,88,88,0,0,0,100,1379,10922,4232.386364,4419,1776.659421,1858.2,2832.75,4419,5343.75,6829.95,87,false,true
chroma06,chroma_numeric,false,88,88,0,0,0,100,3241,15582,8519.670455,8357,2408.506032,5179.55,6683.25,8357,9830.75,13054.35,87,false,true
chroma07,chroma_numeric,false,0,0,88,0,0,0,,,,,,,,,,,,false,false
chroma08,chroma_numeric,false,88,88,0,0,0,100,2310,12209,6300.329545,6052,2334.13765,2596.5,4502.5,6052,7808,10440.25,87,false,true
chroma09,chroma_numeric,false,88,88,0,0,0,100,674,7916,2969.636364,2672,1508.457027,1287.65,1861,2672,3452.5,5979.85,86,false,true
chroma10,chroma_numeric,false,88,88,0,0,0,100,5351,16146,9383.284091,9244,2447.285773,5862.7,7427.25,9244,11238.5,13951.15,88,false,true
chroma11,chroma_numeric,false,88,88,0,0,0,100,755,11623,4815.147727,4299,2177.289882,1916.55,3238.25,4299,5918,8604.45,88,false,true
chroma12,chroma_numeric,false,88,88,0,0,0,100,1156,9565,3564.625,3236.5,1724.228385,1351.05,2155.75,3236.5,4680.75,6689.5,88,false,true
complexity_chroma,chroma_numeric,false,88,88,0,0,0,100,0.090909,1,0.414256,0.181818,0.35754,0.122727,0.181818,0.181818,1,1,5,false,false
absolute_loudness,core_semantic_numeric,false,88,88,0,0,0,100,-19.399903,-7.396023,-13.396864,-13.295036,2.603939,-18.29221,-14.733639,-13.295036,-11.849786,-9.251068,88,false,true
arousal,core_semantic_numeric,true,88,88,0,0,0,100,0.13636,1,0.669118,0.676325,0.153953,0.394458,0.593182,0.676325,0.770212,0.902325,87,false,false
articulation,core_semantic_numeric,false,88,88,0,0,0,100,0.24637,0.71423,0.529091,0.51648,0.086845,0.391176,0.475915,0.51648,0.601052,0.657263,87,false,false
binary,core_semantic_numeric,false,88,88,0,0,0,100,0.512978,1,0.819306,0.814688,0.120938,0.633267,0.736375,0.814688,0.934035,0.990958,86,false,false
bpm,core_semantic_numeric,false,88,88,0,0,0,100,30,200,80.113636,63.5,41.742349,33.35,43.75,63.5,115,158,55,false,true
complexity,core_semantic_numeric,false,88,88,0,0,0,100,0.004498,0.831304,0.323392,0.291685,0.214161,0.042845,0.150484,0.291685,0.467973,0.7148,88,false,false
danceability,core_semantic_numeric,true,88,88,0,0,0,100,0.37675,0.88038,0.628219,0.640115,0.114344,0.42661,0.547147,0.640115,0.696248,0.817152,88,false,false
dissonance,core_semantic_numeric,false,88,88,0,0,0,100,0.37439,0.63251,0.490733,0.48597,0.06047,0.401952,0.447735,0.48597,0.534672,0.591738,88,false,false
electric_acoustic,core_semantic_numeric,false,88,88,0,0,0,100,0,1,0.136625,0.045075,0.210987,0,0.00535,0.045075,0.166288,0.574408,67,false,false
event_density,core_semantic_numeric,true,88,88,0,0,0,100,0.037672,0.077204,0.053656,0.05385,0.007288,0.043583,0.048337,0.05385,0.057575,0.065196,88,true,false
intensity,core_semantic_numeric,true,88,88,0,0,0,100,0.084286,0.38766,0.216521,0.22305,0.066539,0.105969,0.165211,0.22305,0.250917,0.334474,88,false,false
loudness,core_semantic_numeric,true,88,88,0,0,0,100,-20.854652,-7.396023,-13.581529,-13.360992,2.773819,-18.588612,-15.08329,-13.360992,-11.940549,-9.251068,88,false,true
loudness_range,core_semantic_numeric,true,88,88,0,0,0,100,1.597158,15.408748,5.542464,4.848236,2.76115,2.290281,3.60308,4.848236,6.950816,10.060031,88,false,true
melodicity,core_semantic_numeric,false,88,88,0,0,0,100,0.4388,0.7483,0.58637,0.587545,0.066716,0.485199,0.538323,0.587545,0.627417,0.704145,88,false,false
music_speech,core_semantic_numeric,true,88,88,0,0,0,100,0,0.31025,0.077361,0.06064,0.05833,0.019593,0.038502,0.06064,0.101285,0.16573,87,false,false
pulse_clarity,core_semantic_numeric,true,88,88,0,0,0,100,0.067243,0.85617,0.50629,0.540524,0.219647,0.166486,0.298531,0.540524,0.679593,0.82108,88,false,false
rhythmic_stability,core_semantic_numeric,true,88,88,0,0,0,100,0.38061,0.71321,0.595158,0.59585,0.065227,0.494665,0.548345,0.59585,0.646047,0.694731,88,false,false
studio_live,core_semantic_numeric,false,88,88,0,0,0,100,0.05855,0.39597,0.185523,0.17528,0.064721,0.094127,0.142997,0.17528,0.220083,0.299013,88,false,false
valence,core_semantic_numeric,false,88,88,0,0,0,100,0.08956,0.88262,0.498927,0.50696,0.217903,0.151561,0.31686,0.50696,0.676888,0.832925,88,false,false
vocal_instrumental,core_semantic_numeric,true,88,88,0,0,0,100,0,0.9532,0.150208,0.04187,0.228459,0,0.00045,0.04187,0.170395,0.710234,68,false,false
mfcc01,mfcc_numeric,false,88,88,0,0,0,100,-14.085641,-3.572101,-7.191603,-7.154338,1.615833,-9.907031,-8.0492,-7.154338,-6.069727,-4.925689,88,false,true
mfcc02,mfcc_numeric,false,88,88,0,0,0,100,2.694911,3.317865,3.117927,3.143654,0.143276,2.813382,3.058474,3.143654,3.231637,3.277206,88,false,false
mfcc03,mfcc_numeric,false,88,88,0,0,0,100,-2.000389,0.588629,-0.641136,-0.650976,0.479478,-1.452256,-0.871888,-0.650976,-0.323142,0.132812,88,false,true
mfcc04,mfcc_numeric,false,88,88,0,0,0,100,-0.621266,1.424858,0.234625,0.204163,0.335053,-0.227202,0.003558,0.204163,0.416239,0.893678,88,false,false
mfcc05,mfcc_numeric,false,88,88,0,0,0,100,-0.736685,0.237138,-0.232051,-0.20904,0.205998,-0.577028,-0.384273,-0.20904,-0.084518,0.091438,88,false,false
mfcc06,mfcc_numeric,false,88,88,0,0,0,100,-0.502442,0.389653,-0.112167,-0.141883,0.19254,-0.403382,-0.246911,-0.141883,0.00957,0.225234,88,false,false
mfcc07,mfcc_numeric,false,88,88,0,0,0,100,-0.765013,0.024565,-0.290409,-0.266427,0.166533,-0.603696,-0.370521,-0.266427,-0.180442,-0.061569,88,false,false
mfcc08,mfcc_numeric,false,88,88,0,0,0,100,-0.628983,0.240408,-0.189462,-0.189277,0.1555,-0.492168,-0.26868,-0.189277,-0.096004,0.053697,88,false,false
mfcc09,mfcc_numeric,false,88,88,0,0,0,100,-0.793129,-0.045076,-0.373751,-0.373853,0.14499,-0.621267,-0.459388,-0.373853,-0.285347,-0.117981,88,false,false
mfcc10,mfcc_numeric,false,88,88,0,0,0,100,-0.447193,0.122442,-0.231181,-0.238849,0.10921,-0.40924,-0.304725,-0.238849,-0.174919,-0.030101,88,false,false
mfcc11,mfcc_numeric,false,88,88,0,0,0,100,-0.602053,-0.1019,-0.356707,-0.356063,0.093085,-0.499613,-0.419193,-0.356063,-0.296481,-0.202742,88,false,false
mfcc12,mfcc_numeric,false,88,88,0,0,0,100,-0.582664,0.001126,-0.27187,-0.270776,0.103885,-0.451572,-0.328919,-0.270776,-0.21277,-0.100967,88,false,false
mfcc13,mfcc_numeric,false,88,88,0,0,0,100,-0.648188,-0.017702,-0.325984,-0.32023,0.122037,-0.519976,-0.414568,-0.32023,-0.247885,-0.133365,88,false,false
brightness,spectral_numeric,true,88,88,0,0,0,100,0.025808,0.382525,0.155019,0.14628,0.071064,0.055332,0.111622,0.14628,0.188286,0.286831,88,false,false
centroid,spectral_numeric,true,88,88,0,0,0,100,1457.132304,5228.228688,3609.172866,3648.752475,776.695289,2393.153202,3137.301984,3648.752475,4156.493515,4686.721722,88,false,true
flatness,spectral_numeric,false,88,88,0,0,0,100,0.095821,0.427153,0.266087,0.269908,0.067899,0.169514,0.217249,0.269908,0.316727,0.369134,88,false,false
roll_off,spectral_numeric,false,88,88,0,0,0,100,599.679986,3726.696196,1637.765047,1546.771584,672.376557,660.650594,1153.624753,1546.771584,2021.65598,2780.164402,88,false,true
spread,spectral_numeric,false,88,88,0,0,0,100,2318.840128,5233.293819,4052.534912,4106.969864,547.10795,3218.722043,3694.951709,4106.969864,4415.59354,4933.983482,88,false,true
zero_cross_rate,spectral_numeric,false,88,88,0,0,0,100,0.02674,0.117143,0.065514,0.066699,0.019812,0.034092,0.051155,0.066699,0.079188,0.099226,88,false,false
